Date,AGG,BIL,DBC,GLD,IEF,SHY,SPY,TLT,VBR,VV
2018-11-12,86.364013671875,77.41484832763672,14.296868324279785,113.66000366210938,86.20186614990234,71.80451202392578,245.10604858398438,94.85223388671875,111.6941146850586,112.31654357910156
2018-11-13,86.39714050292969,77.4233169555664,13.903616905212402,113.69999694824219,86.27050018310547,71.81317138671875,244.6473846435547,94.79403686523438,111.6334228515625,112.1279525756836
2018-11-14,86.4054183959961,77.41484832763672,14.025960922241211,114.63999938964844,86.45069885253906,71.86505889892578,242.97479248046875,94.85223388671875,110.82731628417969,111.34659576416016
2018-11-15,86.51303100585938,77.44023132324219,13.999743461608887,114.7699966430664,86.5107421875,71.89972686767578,245.5106964111328,94.8106918334961,111.99748992919922,112.56800079345703
2018-11-16,86.65380096435547,77.44869232177734,14.08713436126709,115.62000274658203,86.7767333984375,71.95166015625,246.1492156982422,95.3593978881836,112.14485168457031,112.80152893066406
2018-11-19,86.64553833007812,77.44023132324219,14.08713436126709,115.66999816894531,86.9053726196289,72.01228332519531,241.98570251464844,95.62545013427734,110.80130004882812,110.89757537841797
2018-11-20,86.61241912841797,77.45716857910156,13.658926963806152,115.66999816894531,86.88825988769531,71.99490356445312,237.50743103027344,95.65870666503906,108.78169250488281,108.87684631347656
2018-11-21,86.67037963867188,77.47408294677734,13.772533416748047,115.86000061035156,86.87107849121094,71.99490356445312,238.3167724609375,95.62545013427734,109.96052551269531,109.31687927246094
2018-11-23,86.64553833007812,77.47408294677734,13.370542526245117,115.7699966430664,86.92256164550781,71.97761535644531,236.72506713867188,95.72518157958984,109.84784698486328,108.5984115600586
2018-11-26,86.62897491455078,77.48252868652344,13.431714057922363,115.63999938964844,86.85392761230469,71.98627471923828,240.54693603515625,95.50904083251953,110.94866943359375,110.2957992553711
2018-11-27,86.65380096435547,77.48252868652344,13.379281997680664,114.94999694824219,86.93974304199219,71.99490356445312,241.35621643066406,95.6171646118164,110.1165542602539,110.65505981445312
2018-11-28,86.81938171386719,77.49101257324219,13.335586547851562,115.37999725341797,86.93118286132812,72.0208969116211,246.9134521484375,95.15157318115234,112.10148620605469,113.20567321777344
2018-11-29,86.86080932617188,77.49943542480469,13.42297649383545,115.73999786376953,87.15425872802734,72.0382308959961,246.3739471435547,95.52567291259766,111.7547836303711,112.99909973144531
2018-11-30,86.83596801757812,77.50791931152344,13.36180305480957,115.54000091552734,87.32582092285156,72.06420135498047,247.875732421875,95.88313293457031,112.44818878173828,113.75350952148438
2018-12-03,86.9778823852539,77.50537872314453,13.667665481567383,116.41000366210938,87.51667022705078,72.0052261352539,251.157958984375,96.56397247314453,113.27166748046875,115.20844268798828
2018-12-04,87.21025085449219,77.51383972167969,13.676403999328613,117.12000274658203,87.92080688476562,72.05720520019531,243.01976013183594,98.18061828613281,109.180419921875,111.49030303955078
